Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel,Time,XAccel,YAccel,ZAccel
take 6,pitcher(david),,,take 7,david(pitcher),,,take 8,david(pitcher,,,take 9,AJ,,,take 10,"aj (""bad"" lol)",,,take 11,AJ tripped,,,take 12,AJ,,,take 13,alex,,,take 14,alex,,,take 15,alex,,,take 16,alex,,,take 17,anil,jumped right before data collection,,take 18,anil,,,take 19,anil,,,take 20,corey,,,take 21,corey,,,take 22,corey,,,take 23,hwei,,,take 24,hwei,,,take 25,hwei,,,short 1,short 1,,,short 2,short 2,,,short 3,short 3,,
0,4.145493,8.987803,1.766324,0,0.786665,10.69521,1.010587,0,2.49407,10.49928,0.786665,0,0.1149,9.491628,5.153142,0,-1.39657,9.407657,0.450783,0,-1.48054,10.10741,1.31848,0,-3.07599,10.21937,1.598382,0,0.758675,10.63923,-0.55687,0,4.005542,9.995452,1.542402,0,0.310832,10.83516,-1.11667,0,0.08691,10.58325,0.814656,0,3.193825,9.323686,2.801962,0,-1.76045,10.69521,-0.30495,0,-2.76809,10.41531,-1.70447,0,-5.0353,10.63923,-0.38892,0,-5.0353,10.63923,-0.38892,0,-5.06329,9.323686,2.130197,0,0.422792,-9.73766,-0.47289,0,0.870636,-9.68168,-0.7528,0,0.254851,-9.87761,-0.64084,0,-4.1956,9.323686,1.29049,0,-6.65874,7.896184,2.717991,0,-6.54678,4.95721,4.649317
0.0125,4.257454,9.015794,1.710343,0.0125,0.814656,10.7232,1.066568,0.0125,2.49407,10.52727,0.814656,0.0125,0.198871,9.435647,5.153142,0.0125,-1.36858,9.715549,0.366812,0.0125,-1.42456,9.967462,1.262499,0.0125,-3.18795,10.27535,1.626372,0.0125,0.646714,10.61124,-0.58486,0.0125,3.977552,9.967462,1.486421,0.0125,0.478773,10.77918,-1.11667,0.0125,0.282841,10.61124,0.926617,0.0125,3.025884,8.903833,2.801962,0.0125,-1.9004,10.69521,-0.33294,0.0125,-2.68412,10.47129,-1.73246,0.0125,-5.48315,10.66722,-0.50089,0.0125,-5.48315,10.66722,-0.50089,0.0125,-5.11927,9.351676,2.074216,0.0125,0.422792,-9.68168,-0.4449,0.0125,0.870636,-9.70967,-0.7528,0.0125,0.030929,-9.87761,-0.66883,0.0125,-4.13962,9.127755,1.150538,0.0125,-6.63075,7.952165,2.662011,0.0125,-5.67908,2.52206,3.921571
0.025,4.369415,9.099764,1.682353,0.025,0.842646,10.75119,1.010587,0.025,2.52206,10.49928,0.870636,0.025,0.17088,9.379667,5.153142,0.025,-1.28461,9.939471,0.394802,0.025,-1.11667,9.74354,1.514411,0.025,-3.13197,10.27535,1.514411,0.025,0.618724,10.69521,-0.58486,0.025,3.949562,9.939471,1.430441,0.025,0.534753,10.77918,-1.14466,0.025,0.450783,10.69521,0.982597,0.025,2.717991,8.987803,2.913923,0.025,-1.92839,10.66722,-0.27696,0.025,-2.68412,10.52727,-1.76045,0.025,-5.84702,10.58325,-0.4449,0.025,-5.84702,10.58325,-0.4449,0.025,-5.14726,9.379667,2.074216,0.025,0.534753,-9.6257,-0.41691,0.025,0.842646,-9.73766,-0.78079,0.025,0.002939,-9.9056,-0.69682,0.025,-4.13962,9.211725,1.038578,0.025,-6.71472,8.036136,2.690001,0.025,-5.17525,1.150538,3.109855
0.0375,4.537357,9.099764,1.598382,0.0375,0.898626,10.75119,1.010587,0.0375,2.52206,10.47129,0.814656,0.0375,0.226861,9.379667,5.069171,0.0375,-1.34059,10.1354,0.366812,0.0375,-0.69682,9.911481,1.850294,0.0375,-3.02001,10.33133,1.514411,0.0375,0.674705,10.66722,-0.52888,0.0375,3.921571,9.911481,1.486421,0.0375,0.590734,10.69521,-1.14466,0.0375,0.590734,10.97511,0.954607,0.0375,2.158187,9.519618,2.885933,0.0375,-1.84442,10.58325,-0.22098,0.0375,-2.7401,10.55526,-1.70447,0.0375,-6.01496,10.47129,-0.30495,0.0375,-6.01496,10.47129,-0.30495,0.0375,-5.17525,9.379667,2.102206,0.0375,0.646714,-9.6257,-0.4449,0.0375,0.814656,-9.84962,-0.7528,0.0375,0.198871,-9.82163,-0.72481,0.0375,-4.08363,9.407657,0.954607,0.0375,-6.7707,8.008145,2.745982,0.0375,-5.93099,-1.11667,2.941913
0.05,4.761278,9.211725,1.626372,0.05,0.954607,10.75119,0.982597,0.05,2.52206,10.4433,0.814656,0.05,0.338822,9.407657,5.041181,0.05,-1.48054,10.35932,0.422792,0.05,-0.50089,10.47129,2.102206,0.05,-2.88005,10.30334,1.486421,0.05,0.702695,10.63923,-0.58486,0.05,3.865591,9.883491,1.542402,0.05,0.478773,10.66722,-1.17265,0.05,0.590734,11.22702,0.926617,0.05,1.458431,10.38732,2.773972,0.05,-1.76045,10.55526,-0.22098,0.05,-2.7401,10.63923,-1.76045,0.05,-5.98697,10.30334,-0.165,0.05,-5.98697,10.30334,-0.165,0.05,-5.23123,9.351676,2.130197,0.05,0.730685,-9.59771,-0.50089,0.05,0.814656,-9.87761,-0.72481,0.05,0.422792,-9.76565,-0.72481,0.05,-4.13962,9.575598,0.870636,0.05,-6.74271,7.896184,2.829952,0.05,-6.99462,-1.00471,3.305786
0.0625,4.90123,9.239716,1.626372,0.0625,1.010587,10.7232,0.926617,0.0625,2.49407,10.47129,0.814656,0.0625,0.450783,9.463637,5.125151,0.0625,-1.76045,10.49928,0.422792,0.0625,-0.52888,10.97511,2.046226,0.0625,-2.76809,10.24736,1.514411,0.0625,0.758675,10.63923,-0.61285,0.0625,3.809611,9.883491,1.514411,0.0625,0.366812,10.69521,-1.20064,0.0625,0.450783,11.47893,0.870636,0.0625,0.898626,11.33898,2.717991,0.0625,-1.70447,10.61124,-0.19299,0.0625,-2.71211,10.66722,-1.76045,0.0625,-5.70707,10.07942,-0.13701,0.0625,-5.70707,10.07942,-0.13701,0.0625,-5.17525,9.323686,2.102206,0.0625,0.786665,-9.56972,-0.52888,0.0625,0.814656,-9.87761,-0.66883,0.0625,0.506763,-9.84962,-0.72481,0.0625,-4.25158,9.715549,0.814656,0.0625,-6.71472,7.812214,2.829952,0.0625,-8.22619,1.29049,3.501718
0.075,4.9852,9.239716,1.598382,0.075,1.038578,10.69521,0.870636,0.075,2.410099,10.49928,0.814656,0.075,0.450783,9.547608,5.209122,0.075,-2.12432,10.63923,0.450783,0.075,-0.58486,11.19903,1.990245,0.075,-2.68412,10.21937,1.570392,0.075,0.814656,10.61124,-0.58486,0.075,3.75363,9.883491,1.486421,0.075,0.338822,10.69521,-1.25662,0.075,0.338822,11.45094,0.926617,0.075,0.590734,12.17869,2.717991,0.075,-1.67647,10.63923,-0.165,0.075,-2.7401,10.69521,-1.76045,0.075,-5.20324,9.883491,-0.22098,0.075,-5.20324,9.883491,-0.22098,0.075,-5.14726,9.295696,2.102206,0.075,0.786665,-9.59771,-0.52888,0.075,0.814656,-9.82163,-0.69682,0.075,0.478773,-9.84962,-0.66883,0.075,-4.39153,9.74354,0.814656,0.075,-6.60276,7.840204,2.829952,0.075,-9.31781,3.669659,3.445737
0.0875,4.92922,9.267706,1.542402,0.0875,1.038578,10.63923,0.842646,0.0875,2.354118,10.52727,0.842646,0.0875,0.422792,9.575598,5.153142,0.0875,-2.48819,10.66722,0.366812,0.0875,-0.7528,11.42295,1.906275,0.0875,-2.60015,10.16339,1.626372,0.0875,0.870636,10.58325,-0.58486,0.0875,3.78162,9.939471,1.486421,0.0875,0.282841,10.66722,-1.20064,0.0875,0.08691,11.42295,0.982597,0.0875,1.038578,12.57055,2.690001,0.0875,-1.67647,10.58325,-0.22098,0.0875,-2.68412,10.66722,-1.73246,0.0875,-4.69942,9.74354,-0.33294,0.0875,-4.69942,9.74354,-0.33294,0.0875,-5.09128,9.267706,2.102206,0.0875,0.758675,-9.68168,-0.50089,0.0875,0.786665,-9.76565,-0.69682,0.0875,0.394802,-9.79364,-0.66883,0.0875,-4.55947,9.715549,0.870636,0.0875,-6.60276,7.952165,2.745982,0.0875,-10.1015,5.433044,3.613679
0.1,4.789269,9.183735,1.430441,0.1,1.038578,10.61124,0.814656,0.1,2.382109,10.55526,0.814656,0.1,0.422792,9.631579,5.153142,0.1,-2.79608,10.63923,0.366812,0.1,-1.08868,11.5629,1.906275,0.1,-2.57216,10.19138,1.626372,0.1,0.926617,10.55526,-0.58486,0.1,3.893581,9.939471,1.486421,0.1,0.198871,10.66722,-1.22863,0.1,-0.27696,11.31099,0.982597,0.1,2.158187,12.26266,2.997894,0.1,-1.67647,10.52727,-0.22098,0.1,-2.71211,10.63923,-1.70447,0.1,-4.41952,9.631579,-0.33294,0.1,-4.41952,9.631579,-0.33294,0.1,-5.09128,9.295696,2.074216,0.1,0.758675,-9.70967,-0.47289,0.1,0.786665,-9.73766,-0.72481,0.1,0.254851,-9.76565,-0.64084,0.1,-4.72741,9.687559,0.982597,0.1,-6.63075,7.980155,2.717991,0.1,-10.1575,6.636624,3.669659
