"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
0.0000,-5.46,7.59,4.76
0.0125,-5.40,7.34,4.82
0.0250,-5.43,7.25,5.04
0.0375,-5.43,7.14,4.99
0.0500,-5.37,7.28,4.93
0.0625,-5.32,7.64,5.04
0.0750,-5.26,7.90,5.04
0.0875,-5.18,8.09,5.13
0.1000,-5.12,8.18,5.29
0.1125,-5.18,7.98,5.41
0.1250,-5.23,7.70,5.46
0.1375,-5.09,7.39,5.35
0.1500,-4.76,7.17,5.32
0.1625,-4.64,7.22,5.35
0.1750,-4.70,7.56,5.35
0.1875,-4.70,8.04,5.43
0.2000,-4.81,8.32,5.52
0.2125,-4.98,8.20,5.71
0.2250,-5.12,7.95,5.82
0.2375,-5.37,7.70,6.10
0.2500,-5.57,7.22,6.10
0.2625,-5.46,7.14,6.24
0.2750,-5.29,7.36,6.33
0.2875,-5.40,7.84,6.36
0.3000,-5.51,8.23,6.33
0.3125,-5.54,8.29,6.24
0.3250,-5.54,7.90,6.19
0.3375,-5.57,7.48,6.19
0.3500,-5.57,7.22,6.19
0.3625,-5.37,7.20,6.33
0.3750,-5.23,7.20,6.33
0.3875,-5.34,7.39,6.38
0.4000,-5.60,7.62,6.52
0.4125,-5.26,7.08,6.64
0.4250,-5.09,6.50,6.75
0.4375,-5.26,6.58,6.94
0.4500,-5.20,6.97,6.92
0.4625,-5.23,7.36,6.97
0.4750,-5.01,7.56,7.06
0.4875,-4.73,7.59,6.97
0.5000,-4.95,7.42,7.03
0.5125,-4.98,7.08,7.48
0.5250,-4.92,6.80,7.08
0.5375,-4.64,5.96,7.25
0.5500,-4.53,5.18,7.11
0.5625,-4.39,5.21,6.86
0.5750,-4.67,5.55,6.75
0.5875,-4.98,5.29,7.62
0.6000,-5.04,5.15,7.98
0.6125,-4.53,5.49,8.40
0.6250,-4.45,5.82,8.46
0.6375,-4.36,5.52,8.68
0.6500,-4.42,5.04,8.82
0.6625,-4.45,4.99,9.32
0.6750,-4.81,5.29,9.58
0.6875,-4.87,5.24,9.66
0.7000,-4.50,4.85,9.60
0.7125,-4.06,4.68,9.35
0.7250,-3.92,4.71,9.27
0.7375,-4.08,4.82,9.04
0.7500,-4.11,4.93,8.82
0.7625,-4.36,4.82,8.82
0.7750,-4.76,4.71,8.96
0.7875,-4.95,4.76,9.07
0.8000,-5.18,4.62,9.18
0.8125,-5.01,4.59,9.41
0.8250,-4.95,4.34,8.54
0.8375,-5.20,4.01,7.76
0.8500,-4.45,4.37,7.92
0.8625,-4.17,5.13,8.15
0.8750,-4.64,4.09,6.97
0.8875,-4.50,3.50,7.03
0.9000,-5.20,3.89,7.73
0.9125,-4.81,4.31,7.78
0.9250,-4.78,4.62,8.23
0.9375,-5.04,4.65,8.32
0.9500,-5.40,4.20,8.32
0.9625,-5.62,3.92,8.71
0.9750,-5.12,4.40,8.54
0.9875,-4.53,5.01,8.46
1.0000,-4.36,5.29,8.48
1.0125,-4.36,5.18,8.57
1.0250,-4.14,4.57,8.71
1.0375,-3.86,3.78,8.93
1.0500,-3.66,3.45,9.10
1.0625,-3.38,3.67,9.32
1.0750,-3.33,4.26,9.44
1.0875,-3.05,4.57,9.32
1.1000,-2.94,4.45,9.49
1.1125,-2.82,4.12,9.55
1.1250,-2.82,4.01,9.60
1.1375,-2.80,4.20,9.74
1.1500,-2.80,4.54,9.97
1.1625,-2.68,4.73,10.00
1.1750,-2.60,5.07,9.97
1.1875,-2.63,5.43,9.97
1.2000,-2.71,5.60,9.72
1.2125,-2.63,5.49,9.44
1.2250,-2.40,5.21,9.27
1.2375,-2.32,5.15,8.85
1.2500,-2.35,5.43,8.51
1.2625,-2.43,5.77,8.23
1.2750,-2.57,6.13,7.92
1.2875,-2.40,6.22,7.64
1.3000,-2.43,6.27,7.42
1.3125,-2.54,6.52,7.31
1.3250,-2.82,6.72,7.45
1.3375,-2.46,6.80,7.73
1.3500,-1.84,6.64,8.01
1.3625,-1.59,6.16,8.23
1.3750,-1.59,5.88,8.46
1.3875,-1.87,6.19,8.51
1.4000,-2.26,6.66,8.57
1.4125,-2.57,6.97,8.60
1.4250,-2.68,6.97,8.65
1.4375,-2.63,6.38,8.54
1.4500,-2.38,5.85,8.65
1.4625,-2.07,5.85,8.51
1.4750,-1.82,6.10,8.48
1.4875,-1.79,6.47,8.48
1.5000,-1.87,6.50,8.46
1.5125,-1.48,6.30,8.34
1.5250,-1.00,6.02,8.26
1.5375,-0.78,6.05,8.15
1.5500,-0.78,6.36,7.98
1.5625,-0.81,6.66,8.06
1.5750,-0.81,7.48,8.26
1.5875,-0.95,8.54,8.57
1.6000,-1.40,9.77,8.65
1.6125,-2.01,10.58,8.74
1.6250,-2.54,10.78,8.62
1.6375,-2.91,10.53,8.46
1.6500,-3.10,10.08,8.06
1.6625,-3.41,9.69,7.70
1.6750,-3.44,9.49,7.36
1.6875,-3.38,9.24,7.22
1.7000,-3.55,9.27,7.20
1.7125,-3.69,9.60,7.14
1.7250,-3.52,9.80,7.06
1.7375,-3.22,9.74,6.86
1.7500,-2.82,9.49,6.36
1.7625,-2.46,9.27,6.13
1.7750,-2.26,9.16,5.85
1.7875,-2.18,9.27,5.82
1.8000,-1.87,9.46,5.66
1.8125,-1.48,9.38,5.27
1.8250,-1.20,9.07,5.35
1.8375,-1.31,9.30,5.21
1.8500,-1.96,10.00,4.99
1.8625,-2.43,10.44,4.90
1.8750,-1.96,10.70,4.65
1.8875,-1.73,10.53,4.34
1.9000,-1.79,10.11,4.09
1.9125,-2.01,9.58,4.09
1.9250,-2.29,9.27,3.95
1.9375,-2.60,9.58,3.98
1.9500,-2.85,10.28,4.15
1.9625,-2.63,10.64,4.31
1.9750,-2.32,10.19,4.31
1.9875,-2.21,9.72,4.29
2.0000,-2.29,9.63,4.20
2.0125,-2.38,9.91,4.15
2.0250,-2.35,10.42,4.06
2.0375,-2.24,10.78,4.01
2.0500,-2.24,10.81,3.95
2.0625,-2.29,10.44,3.89
2.0750,-2.29,10.05,3.89
2.0875,-2.18,9.86,3.75
2.1000,-2.15,10.19,3.84
2.1125,-2.21,10.89,3.89
2.1250,-2.29,11.37,3.95
2.1375,-2.26,11.17,4.06
2.1500,-2.21,10.39,4.12
2.1625,-2.26,9.80,4.15
2.1750,-2.52,9.69,4.06
2.1875,-2.57,9.91,4.06
2.2000,-2.57,10.14,4.09
2.2125,-2.66,10.22,4.17
2.2250,-2.71,9.97,4.23
2.2375,-2.60,9.91,4.40
2.2500,-2.66,9.91,4.45
2.2625,-2.85,9.72,4.48
2.2750,-2.94,9.69,4.65
2.2875,-2.94,9.72,4.62
2.3000,-2.99,9.72,4.59
2.3125,-3.13,9.88,4.62
2.3250,-3.47,9.94,4.73
2.3375,-3.58,9.77,4.76
2.3500,-3.66,9.35,4.76
2.3625,-3.64,9.13,4.85
2.3750,-3.64,9.10,4.82
